Brand,Description,Image_URL,Product_ID,Discount_Price (in Rs.),Original_Price (in Rs.),Product_URL,Category_by_gender,Category
dnmx,Checked Hoodie with Kangaroo Pocket,https://assets.ajio.com/medias/sys_master/root/20220315/pntd/622faf82aeb26921afd8c149/-286Wx359H-441134530-olive-MODEL.jpg,441134530003,"1,124","1,499",https://trends.ajio.com/dnmx-checked-hoodie-with-kangaroo-pocket/p/441134530_olive,Men,Topwear
teamspirit,Heathered Crew-Neck T-shirt,https://assets.ajio.com/medias/sys_master/root/20220408/Uhyf/6250541baeb26921af139b36/-286Wx359H-441139569-navy-MODEL.jpg,441139569105,335,399,https://trends.ajio.com/teamspirit-heathered-crew-neck-t-shirt/p/441139569_navy,Men,Topwear
performax,Polo T-shirt with Vented Hemline,https://assets.ajio.com/medias/sys_master/root/20210601/DsUu/60b52e60aeb269a9e3ce8ee7/-286Wx359H-441120190-teal-MODEL.jpg,441120190008,343,699,https://trends.ajio.com/performax-polo-t-shirt-with-vented-hemline/p/441120190_teal,Men,Topwear
dnmx,Panelled Zip-Front Bomber Jacket with Pockets,https://assets.ajio.com/medias/sys_master/root/20210831/9FHu/612d4f277cdb8cb8240e8fd9/-286Wx359H-441126846-blue-MODEL.jpg,441126846005,570,"1,899",https://trends.ajio.com/dnmx-panelled-zip-front-bomber-jacket-with-pockets/p/441126846_blue,Men,Topwear
teamspirit,Colourblock Crew-Neck T-shirt with Typography,https://assets.ajio.com/medias/sys_master/root/20211014/Ahno/61672f20f997ddf8f1cf8410/-286Wx359H-441127187-darkgreen-MODEL.jpg,441127187009,299,499,https://trends.ajio.com/teamspirit-colourblock-crew-neck-t-shirt-with-typography/p/441127187_darkgreen,Men,Topwear
lee-cooper,Polo T-shirt with Placement Brand Logo,https://assets.ajio.com/medias/sys_master/root/20220224/zd7p/621691e7aeb26921afb32f75/-286Wx359H-441245228-blue-MODEL.jpg,441245228005,650,"1,299",https://trends.ajio.com/lee-cooper-polo-t-shirt-with-placement-brand-logo/p/441245228_blue,Men,Topwear
teamspirit,Striped Crew-Neck T-shirt,https://assets.ajio.com/medias/sys_master/root/20210831/BkiZ/612d4295f997ddce89b2bbff/-286Wx359H-441126466-ecru-MODEL.jpg,441126466026,587,699,https://trends.ajio.com/teamspirit-striped-crew-neck-t-shirt/p/441126466_ecru,Men,Topwear
netplay,Knitted Slim Fit Reversible Sleeveless Pullover,https://assets.ajio.com/medias/sys_master/root/20210722/sPLX/60f88102aeb269a9e34c53a7/-286Wx359H-441122741-yellow-MODEL.jpg,441122741007,315,"1,049",https://trends.ajio.com/netplay-knitted-slim-fit-reversible-sleeveless-pullover/p/441122741_yellow,Men,Topwear
lee-cooper,Checked Shirt with Patch Pocket,https://assets.ajio.com/medias/sys_master/root/20220128/VqUq/61f40dedaeb2695cdd38a84c/-286Wx359H-441243375-white-MODEL.jpg,441243375005,700,"1,399",https://trends.ajio.com/lee-cooper-checked-shirt-with-patch-pocket/p/441243375_white,Men,Topwear
dnmx,Graphic Print Crew-Neck T-shirt,https://assets.ajio.com/medias/sys_master/root/20211104/eTYB/61831a6baeb2690110b97b8f/-286Wx359H-441126009-white-MODEL.jpg,441126009001,319,399,https://trends.ajio.com/dnmx-graphic-print-crew-neck-t-shirt/p/441126009_white,Men,Topwear
ecko,Printed Slim Fit Shirt with Patch Pocket,https://assets.ajio.com/medias/sys_master/root/20211001/nzAX/61573d38f997ddce89ec22be/-286Wx359H-441079116-white-MODEL.jpg,441079116003,427,949,https://trends.ajio.com/ecko-printed-slim-fit-shirt-with-patch-pocket/p/441079116_white,Men,Topwear
john-players,Printed Slim Fit Shirt With Patch Pocket,https://assets.ajio.com/medias/sys_master/root/20210818/3Px9/611c0c55f997ddce89a21af6/-286Wx359H-441127532-white-MODEL.jpg,441127532004,588,"1,199",https://trends.ajio.com/john-players-printed-slim-fit-shirt-with-patch-pocket/p/441127532_white,Men,Topwear
lee-cooper,Typographic Print Panelled Hoodie with Insert Pockets,https://assets.ajio.com/medias/sys_master/root/20211104/JUrR/61831623aeb2690110b9671a/-286Wx359H-441213926-olive-MODEL.jpg,441213926004,980,"1,999",https://trends.ajio.com/lee-cooper-typographic-print-panelled-hoodie-with-insert-pockets/p/441213926_olive,Men,Topwear
altheory,Striped Slim Fit Shirt with Band Collar,https://assets.ajio.com/medias/sys_master/root/20210413/M0f3/6074a213aeb269a9e38d538a/-286Wx359H-460600565-navy-MODEL.jpg,460600565008,450,"1,499",https://trends.ajio.com/altheory-striped-slim-fit-shirt-with-band-collar/p/460600565_navy,Men,Topwear
lee-cooper,Placement Typographic Print Camo T-shirt,https://assets.ajio.com/medias/sys_master/root/20211202/o4yM/61a7e729f997ddf8f12d61f5/-286Wx359H-441213772-olive-MODEL.jpg,441213772002,270,899,https://trends.ajio.com/lee-cooper-placement-typographic-print-camo-t-shirt/p/441213772_olive,Men,Topwear
dnmx,Striped Round-Neck T-shirt with Raglan Sleeve,https://assets.ajio.com/medias/sys_master/root/20220419/9uTm/625db122aeb26921af2924d6/-286Wx359H-441143653-indigo-MODEL.jpg,441143653006,599,599,https://trends.ajio.com/dnmx-striped-round-neck-t-shirt-with-raglan-sleeve/p/441143653_indigo,Men,Topwear
teamspirit,Varsity Colourblock Hooded T-shirt,https://assets.ajio.com/medias/sys_master/root/20210325/8ra0/605b85e17cdb8c1f146c8646/-286Wx359H-441118451-grey-MODEL.jpg,441118451009,392,799,https://trends.ajio.com/teamspirit-varsity-colourblock-hooded-t-shirt/p/441118451_grey,Men,Topwear
